run_time       ,total_data     ,mutihop        ,sensor_data    ,uav_data       ,lost_data      
0,0,0,0,0,0
100,322,32,192,98,0
200,686,84,379,223,0
300,1099,152,567,380,0
400,1421,229,665,527,0
500,1785,315,908,562,0
600,2198,402,1127,669,0
700,2520,488,1278,754,0
800,2884,576,1374,934,0
900,3297,668,1667,962,0
1000,3619,759,1827,1033,0
1100,3983,850,2051,1082,0
1200,4396,939,2042,1415,0
1300,4718,1029,2232,1457,0
1400,5082,1118,2415,1549,0
1500,5495,1207,2690,1598,0
1600,5817,1295,2413,2109,0
1700,6181,1384,2578,2219,0
1800,6594,1473,2860,2261,0
1900,6916,1560,2915,2441,0
2000,7280,1646,3062,2572,0
2100,7693,1732,2916,3045,0
2200,8015,1821,3048,3146,0
2300,8379,1909,3196,3274,0
2400,8792,1996,3401,3395,0
2500,9114,2081,3085,3948,0
2600,9478,2171,3305,3997,5
2700,9891,2261,3580,4039,11
2800,10213,2351,3764,4081,17
2900,10577,2440,3382,4732,23
3000,10990,2530,3656,4781,23
3100,11312,2617,3637,5035,23
3200,11676,2702,3721,5230,23
3300,12089,2791,3568,5707,23
3400,12411,2880,3681,5822,28
3500,12775,2969,3922,5850,34
3600,13188,3058,4198,5892,40
3700,13510,3147,4374,5941,48
3800,13874,3234,4201,6385,54
3900,14287,3325,4496,6406,60
4000,14609,3415,4534,6594,66
4100,14973,3505,4759,6636,73
4200,15386,3592,4460,7249,85
4300,15708,3681,4585,7357,85
4400,16072,3769,4728,7485,90
4500,16485,3856,4927,7606,96
4600,16807,3944,4771,7996,96
4700,17171,4035,5006,8024,106
4800,17584,4127,5294,8045,118
4900,17906,4219,5481,8080,126
5000,18270,4309,5220,8604,137
5100,18683,4400,5496,8639,148
5200,19005,4490,5497,8858,160
5300,19369,4580,5715,8900,174
5400,19782,4668,5796,9128,190
5500,20104,4757,5607,9533,207
5600,20468,4849,5743,9652,224
5700,20881,4941,6022,9680,238
5800,21203,5033,6212,9708,250
5900,21567,5117,5239,10933,278
6000,21980,5199,5297,11201,283
6100,22302,5282,5467,11264,289
6200,22666,5365,5665,11341,295
6300,23079,5450,5245,12083,301
6400,23401,5538,5433,12118,312
6500,23765,5626,5586,12229,324
6600,24178,5714,5836,12292,336
6700,24500,5801,5915,12435,349
6800,24864,5887,5929,12676,372
6900,25277,5981,6223,12683,390
7000,25599,6074,6294,12821,410
7100,25963,6167,6521,12849,426
7200,26376,6250,5600,14083,443
7300,26698,6334,5662,14249,453
7400,27062,6418,5871,14312,461
7500,27475,6502,6131,14368,474
7600,27797,6586,5492,15228,491
7700,28161,6671,5723,15249,518
7800,28574,6759,5879,15394,542
7900,28896,6847,6050,15436,563
8000,29260,6930,5402,16323,605
8100,29673,7014,5478,16564,617
8200,29995,7100,5551,16702,642
