run_time       ,total_data     ,mutihop        ,sensor_data    ,uav_data       ,lost_data      
0,0,0,0,0,0
100,322,41,246,35,0
200,686,111,514,61,0
300,1099,203,759,137,0
400,1421,299,935,187,0
500,1785,395,1148,242,0
600,2198,491,1441,266,0
700,2520,586,1610,324,0
800,2884,680,1810,394,0
900,3297,775,2091,431,0
1000,3619,873,2315,431,0
1100,3983,971,2581,431,0
1200,4396,1067,2794,535,0
1300,4718,1164,2968,586,0
1400,5082,1259,3095,728,0
1500,5495,1355,3333,807,0
1600,5817,1453,3557,807,0
1700,6181,1550,3751,880,0
1800,6594,1646,3891,1057,0
1900,6916,1742,4020,1154,0
2000,7280,1838,4112,1330,0
2100,7693,1931,4116,1646,0
2200,8015,2023,4178,1814,0
2300,8379,2121,4444,1814,0
2400,8792,2218,4670,1904,0
2500,9114,2315,4895,1904,0
2600,9478,2410,4867,2201,0
2700,9891,2504,5080,2302,5
2800,10213,2596,4774,2832,11
2900,10577,2686,4709,3165,17
3000,10990,2782,4796,3389,23
3100,11312,2878,5016,3389,29
3200,11676,2974,5046,3621,35
3300,12089,3070,5100,3878,41
3400,12411,3165,4938,4267,41
3500,12775,3260,5084,4390,41
3600,13188,3355,5175,4617,41
3700,13510,3451,5284,4734,41
3800,13874,3548,5401,4874,51
3900,14287,3645,5563,5013,66
4000,14609,3743,5776,5013,77
4100,14973,3837,5590,5447,99
4200,15386,3934,5883,5447,122
4300,15708,4032,6085,5447,144
4400,16072,4129,6178,5587,178
4500,16485,4226,6331,5726,202
4600,16807,4322,6351,5910,224
4700,17171,4419,6445,6050,257
4800,17584,4517,6737,6050,280
4900,17906,4614,6800,6190,302
5000,18270,4711,6911,6324,324
5100,18683,4807,7090,6439,347
5200,19005,4903,7048,6690,364
5300,19369,5000,7288,6690,391
5400,19782,5097,7453,6817,415
5500,20104,5193,7413,7066,432
5600,20468,5287,7166,7555,460
5700,20881,5383,7459,7555,484
5800,21203,5480,7527,7695,501
5900,21567,5574,7229,8241,523
6000,21980,5672,7538,8241,529
6100,22302,5767,7385,8610,540
6200,22666,5859,7256,8999,552
6300,23079,5955,7294,9273,557
6400,23401,6049,7251,9539,562
6500,23765,6144,7147,9901,573
6600,24178,6241,7463,9901,573
6700,24500,6336,7279,10292,593
6800,24864,6432,7397,10431,604
6900,25277,6528,7447,10687,615
7000,25599,6625,7533,10809,632
7100,25963,6721,7561,11032,649
7200,26376,6818,7856,11032,670
7300,26698,6913,7670,11416,699
7400,27062,7007,7698,11640,717
7500,27475,7103,7779,11854,739
7600,27797,7199,7836,11994,768
7700,28161,7295,7953,12133,780
7800,28574,7393,8252,12133,796
7900,28896,7486,7893,12698,819
8000,29260,7579,8029,12815,837
8100,29673,7672,8332,12815,854
8200,29995,7764,7746,13603,882
8300,30359,7859,7656,13950,894
8400,30772,7952,7733,14182,905
8500,31094,8046,7804,14322,922
8600,31458,8141,7927,14456,934
8700,31871,8234,7765,14932,940
8800,32193,8328,7982,14932,951
8900,32557,8418,7752,15424,963
9000,32970,8512,8065,15424,969
9100,33292,8604,7902,15806,980
9200,33656,8697,7774,16193,992
9300,34069,8787,7577,16702,1003
9400,34391,8877,7540,16960,1014
