run_time       ,total_data     ,mutihop        ,sensor_data    ,uav_data       ,lost_data      
0,0,0,0,0,0
100,322,0,287,35,0
200,686,0,623,63,0
300,1099,0,952,147,0
400,1421,0,1218,203,0
500,1785,0,1519,266,0
600,2198,0,1904,294,0
700,2520,0,2156,364,0
800,2884,0,2436,448,0
900,3297,0,2723,574,0
1000,3619,0,3045,574,0
1100,3983,0,3353,630,0
1200,4396,0,3647,749,0
1300,4718,0,3906,812,0
1400,5082,0,4102,980,0
1500,5495,0,4424,1071,0
1600,5817,0,4746,1071,0
1700,6181,0,5110,1071,0
1800,6594,0,5222,1372,0
1900,6916,0,5432,1484,0
2000,7280,0,5474,1806,0
2100,7693,0,5691,2002,0
2200,8015,0,5698,2317,0
2300,8379,0,6062,2317,0
2400,8792,0,6251,2541,0
2500,9114,0,5974,3136,4
2600,9478,0,6093,3374,11
2700,9891,0,6128,3745,18
2800,10213,0,6198,3990,25
2900,10577,0,6030,4515,32
3000,10990,0,6198,4753,39
3100,11312,0,6275,4991,46
3200,11676,0,6397,5222,57
3300,12089,0,6649,5372,68
3400,12411,0,6684,5641,86
3500,12775,0,6677,6005,93
3600,13188,0,6726,6362,100
3700,13510,0,6915,6481,114
3800,13874,0,7122,6631,121
3900,14287,0,7052,7114,121
4000,14609,0,7261,7212,136
4100,14973,0,7513,7310,150
4200,15386,0,7566,7656,164
4300,15708,0,7724,7806,178
4400,16072,0,7759,8128,185
4500,16485,0,8172,8128,185
4600,16807,0,8263,8352,192
4700,17171,0,8466,8502,203
4800,17584,0,8753,8628,203
4900,17906,0,8942,8754,210
5000,18270,0,9166,8887,217
5100,18683,0,9309,9153,221
5200,19005,0,9491,9279,235
5300,19369,0,9550,9566,253
5400,19782,0,9805,9706,271
5500,20104,0,9686,10126,292
5600,20468,0,9602,10546,320
5700,20881,0,9840,10696,345
5800,21203,0,9825,10996,382
5900,21567,0,9850,11296,421
6000,21980,0,9783,11743,454
6100,22302,0,9916,11893,493
6200,22666,0,9933,12193,540
6300,23079,0,10007,12493,579
6400,23401,0,9830,12943,628
6500,23765,0,9649,13393,723
6600,24178,0,9647,13693,838
6700,24500,0,9601,13993,906
6800,24864,0,9377,14443,1044
6900,25277,0,9329,14743,1205
7000,25599,0,9273,15043,1283
7100,25963,0,9068,15493,1402
7200,26376,0,8868,15943,1565
7300,26698,0,8966,16093,1639
7400,27062,0,8754,16543,1765
7500,27475,0,8876,16693,1906
7600,27797,0,8971,16843,1983
7700,28161,0,8762,17293,2106
7800,28574,0,9048,17293,2233
7900,28896,0,9286,17293,2317
8000,29260,0,9509,17293,2458
8100,29673,0,9324,17743,2606
8200,29995,0,9094,18193,2708
8300,30359,0,8864,18643,2852
8400,30772,0,8843,18943,2986
8500,31094,0,8924,19093,3077
8600,31458,0,9165,19093,3200
8700,31871,0,8998,19543,3330
8800,32193,0,8924,19843,3426
8900,32557,0,8858,20143,3556
9000,32970,0,8998,20293,3679
9100,33292,0,8925,20593,3774
9200,33656,0,8720,21043,3893
9300,34069,0,8423,21643,4003
9400,34391,0,7753,22543,4095
