run_time       ,total_data     ,mutihop        ,sensor_data    ,uav_data       ,lost_data      
0,0,0,0,0,0
100,322,41,246,35,0
200,686,109,490,87,0
300,1099,202,753,144,0
400,1421,296,881,244,0
500,1785,393,1124,268,0
600,2198,488,1393,317,0
700,2520,585,1618,317,0
800,2884,680,1782,422,0
900,3297,774,2064,459,0
1000,3619,871,2246,502,0
1100,3983,968,2464,551,0
1200,4396,1065,2731,600,0
1300,4718,1160,2805,753,0
1400,5082,1253,2946,883,0
1500,5495,1349,3196,950,0
1600,5817,1446,3359,1012,0
1700,6181,1541,3493,1147,0
1800,6594,1637,3742,1215,0
1900,6916,1730,3613,1573,0
2000,7280,1826,3729,1725,0
2100,7693,1921,3889,1883,0
2200,8015,2015,3949,2051,0
2300,8379,2108,3962,2309,0
2400,8792,2204,4189,2399,0
2500,9114,2296,3953,2865,0
2600,9478,2389,4129,2960,0
2700,9891,2482,4055,3354,0
2800,10213,2576,4091,3546,0
2900,10577,2671,4042,3864,0
3000,10990,2765,3971,4254,0
3100,11312,2859,4019,4434,0
3200,11676,2957,4285,4434,0
3300,12089,3053,4335,4701,0
3400,12411,3146,4097,5168,0
3500,12775,3244,4363,5168,0
3600,13188,3341,4595,5252,0
3700,13510,3438,4753,5319,0
3800,13874,3534,4798,5542,0
3900,14287,3629,4936,5722,0
4000,14609,3725,5005,5879,0
4100,14973,3821,5126,6026,0
4200,15386,3917,5370,6099,0
4300,15708,4011,5182,6514,1
4400,16072,4105,5248,6712,7
4500,16485,4201,5470,6807,7
4600,16807,4298,5690,6807,12
4700,17171,4394,5778,6981,18
4800,17584,4491,5985,7090,18
4900,17906,4589,6204,7090,23
5000,18270,4686,6370,7185,29
5100,18683,4780,6309,7565,29
5200,19005,4875,6252,7844,34
5300,19369,4971,6381,7977,40
5400,19782,5068,6574,8100,40
5500,20104,5163,6553,8343,45
5600,20468,5259,6615,8543,51
5700,20881,5354,6641,8835,51
5800,21203,5450,6714,8980,59
5900,21567,5545,6594,9357,71
6000,21980,5639,6461,9803,77
6100,22302,5734,6577,9903,88
6200,22666,5829,6539,10198,100
6300,23079,5924,6576,10473,106
6400,23401,6022,6795,10473,111
6500,23765,6120,7055,10473,117
6600,24178,6217,7265,10579,117
6700,24500,6312,7159,10907,122
6800,24864,6405,6930,11401,128
6900,25277,6500,7248,11401,128
7000,25599,6595,7157,11714,133
7100,25963,6689,7223,11912,139
7200,26376,6782,7221,12234,139
7300,26698,6875,7333,12346,144
7400,27062,6971,7595,12346,150
7500,27475,7066,7592,12664,153
7600,27797,7160,7595,12878,164
7700,28161,7254,7693,13038,176
7800,28574,7350,8010,13038,176
7900,28896,7446,8005,13264,181
8000,29260,7543,8266,13264,187
8100,29673,7638,8316,13532,187
8200,29995,7733,8238,13832,192
8300,30359,7827,8073,14261,198
8400,30772,7922,8137,14515,198
8500,31094,8017,7975,14899,203
8600,31458,8108,7731,15410,209
8700,31871,8201,7667,15794,209
8800,32193,8296,7643,16040,214
8900,32557,8391,7783,16163,220
9000,32970,8484,7857,16409,220
9100,33292,8580,8078,16409,225
9200,33656,8675,8075,16675,231
9300,34069,8770,8011,17057,231
9400,34391,8863,7973,17319,236
9500,34755,8956,8104,17450,245
