run_time       ,total_data     ,mutihop        ,sensor_data    ,uav_data       ,lost_data      
0,0,0,0,0,0
100,322,41,246,35,0
200,686,109,490,87,0
300,1099,202,753,144,0
400,1421,296,881,244,0
500,1785,393,1124,268,0
600,2198,488,1393,317,0
700,2520,585,1618,317,0
800,2884,680,1782,422,0
900,3297,774,2064,459,0
1000,3619,871,2246,502,0
1100,3983,968,2464,551,0
1200,4396,1065,2731,600,0
1300,4718,1160,2805,753,0
1400,5082,1253,2946,883,0
1500,5495,1349,3196,950,0
1600,5817,1446,3359,1012,0
1700,6181,1541,3493,1147,0
1800,6594,1637,3742,1215,0
1900,6916,1730,3613,1570,3
2000,7280,1826,3729,1722,3
2100,7693,1921,3889,1880,3
2200,8015,2015,3949,2048,3
2300,8379,2108,3962,2306,3
2400,8792,2204,4189,2396,3
2500,9114,2296,3953,2862,3
2600,9478,2389,4125,2957,7
2700,9891,2482,4041,3349,19
2800,10213,2576,4059,3541,37
2900,10577,2671,3996,3841,69
3000,10990,2765,3915,4219,91
3100,11312,2859,3940,4399,114
3200,11676,2957,4194,4399,126
3300,12089,3052,4207,4688,142
3400,12411,3146,4052,5060,153
3500,12775,3244,4312,5060,159
3600,13188,3341,4536,5144,167
3700,13510,3437,4578,5311,184
3800,13874,3532,4656,5490,196
3900,14287,3627,4805,5653,202
4000,14609,3725,5017,5653,214
4100,14973,3821,5115,5811,226
4200,15386,3917,5321,5911,237
4300,15708,4013,5338,6108,249
4400,16072,4109,5416,6292,255
4500,16485,4205,5637,6383,260
4600,16807,4302,5761,6473,271
4700,17171,4398,5920,6573,280
4800,17584,4496,6225,6573,290
4900,17906,4593,6332,6673,308
5000,18270,4690,6573,6673,334
5100,18683,4786,6642,6873,382
5200,19005,4880,6626,7073,426
5300,19369,4975,6743,7173,478
5400,19782,5068,6604,7573,537
5500,20104,5162,6586,7773,583
5600,20468,5258,6706,7873,631
5700,20881,5354,6763,8073,691
5800,21203,5450,6847,8173,733
5900,21567,5544,6650,8573,800
6000,21980,5640,6815,8673,852
6100,22302,5733,6494,9172,903
6200,22666,5830,6613,9272,951
6300,23079,5926,6689,9472,992
6400,23401,6022,6771,9572,1036
6500,23765,6119,6991,9572,1083
6600,24178,6216,7157,9672,1133
6700,24500,6312,7222,9772,1194
6800,24864,6407,7238,9972,1247
6900,25277,6500,7219,10272,1286
7000,25599,6594,7104,10571,1330
7100,25963,6687,6943,10970,1363
7200,26376,6782,7136,11070,1388
7300,26698,6877,7096,11270,1455
7400,27062,6972,7181,11370,1539
7500,27475,7066,7300,11470,1639
7600,27797,7160,7242,11670,1725
7700,28161,7255,7313,11770,1823
7800,28574,7349,7301,11970,1954
7900,28896,7442,7228,12170,2056
8000,29260,7536,7278,12270,2176
8100,29673,7632,7343,12370,2328
8200,29995,7727,7160,12670,2438
8300,30359,7822,7015,12970,2552
8400,30772,7914,6874,13270,2714
8500,31094,8004,6808,13470,2812
8600,31458,8098,6776,13670,2914
8700,31871,8192,6635,13970,3074
8800,32193,8287,6666,14070,3170
8900,32557,8382,6712,14170,3293
9000,32970,8477,6572,14470,3451
9100,33292,8571,6595,14570,3556
9200,33656,8663,6544,14770,3679
9300,34069,8756,6504,14970,3839
9400,34391,8850,6525,15070,3946
