run_time       ,total_data     ,mutihop        ,sensor_data    ,uav_data       ,lost_data      
0,0,0,0,0,0
100,322,0,287,35,0
200,686,0,623,63,0
300,1099,0,952,147,0
400,1421,0,1218,203,0
500,1785,0,1519,266,0
600,2198,0,1904,294,0
700,2520,0,2156,364,0
800,2884,0,2436,448,0
900,3297,0,2723,574,0
1000,3619,0,3045,574,0
1100,3983,0,3353,630,0
1200,4396,0,3647,749,0
1300,4718,0,3906,812,0
1400,5082,0,4102,980,0
1500,5495,0,4419,1071,5
1600,5817,0,4734,1071,12
1700,6181,0,5091,1071,19
1800,6594,0,5212,1346,36
1900,6916,0,5510,1346,60
2000,7280,0,5448,1744,88
2100,7693,0,5658,1940,95
2200,8015,0,5518,2340,157
2300,8379,0,5614,2540,225
2400,8792,0,5735,2740,317
2500,9114,0,5889,2840,385
2600,9478,0,6078,2940,460
2700,9891,0,6102,3240,549
2800,10213,0,6163,3440,610
2900,10577,0,6161,3740,676
3000,10990,0,6289,3940,761
3100,11312,0,6545,3940,827
3200,11676,0,6731,4040,905
3300,12089,0,6943,4140,1006
3400,12411,0,7083,4240,1088
3500,12775,0,7048,4540,1187
3600,13188,0,7251,4640,1297
3700,13510,0,7084,5040,1386
3800,13874,0,7178,5240,1456
3900,14287,0,7314,5440,1533
4000,14609,0,7289,5738,1582
4100,14973,0,7408,5936,1629
4200,15386,0,7567,6136,1683
4300,15708,0,7511,6436,1761
4400,16072,0,7426,6736,1910
4500,16485,0,7646,6736,2103
4600,16807,0,7529,7036,2242
4700,17171,0,7506,7236,2429
4800,17584,0,7469,7436,2679
4900,17906,0,7462,7636,2808
5000,18270,0,7410,7836,3024
5100,18683,0,7375,8036,3272
5200,19005,0,7445,8136,3424
5300,19369,0,7492,8236,3641
5400,19782,0,7564,8336,3882
5500,20104,0,7415,8636,4053
5600,20468,0,7552,8636,4280
5700,20881,0,7494,8836,4551
5800,21203,0,7531,8936,4736
5900,21567,0,7649,8936,4982
6000,21980,0,7581,9136,5263
6100,22302,0,7500,9336,5466
6200,22666,0,7421,9536,5709
6300,23079,0,7370,9736,5973
6400,23401,0,7198,10036,6167
6500,23765,0,7240,10136,6389
6600,24178,0,7201,10336,6641
6700,24500,0,7227,10436,6837
6800,24864,0,7176,10636,7052
6900,25277,0,7162,10836,7279
7000,25599,0,6990,11136,7473
7100,25963,0,7158,11136,7669
7200,26376,0,7061,11436,7879
7300,26698,0,7105,11536,8057
7400,27062,0,7061,11736,8265
7500,27475,0,7168,11836,8471
7600,27797,0,7208,11936,8653
7700,28161,0,7166,12136,8859
7800,28574,0,7283,12236,9055
7900,28896,0,7437,12236,9223
8000,29260,0,7500,12336,9424
8100,29673,0,7524,12536,9613
8200,29995,0,7387,12836,9772
8300,30359,0,7373,13036,9950
8400,30772,0,7392,13236,10144
8500,31094,0,7376,13436,10282
8600,31458,0,7369,13636,10453
8700,31871,0,7295,13936,10640
8800,32193,0,7276,14136,10781
8900,32557,0,7261,14336,10960
9000,32970,0,7377,14436,11157
9100,33292,0,7344,14636,11312
9200,33656,0,7411,14736,11509
9300,34069,0,7496,14836,11737
9400,34391,0,7445,15036,11910
