run_time       ,total_data     ,mutihop        ,sensor_data    ,uav_data       ,lost_data      
0,0,0,0,0,0
100,322,41,246,35,0
200,686,111,514,61,0
300,1099,203,759,137,0
400,1421,299,935,187,0
500,1785,395,1148,242,0
600,2198,491,1441,266,0
700,2520,586,1610,324,0
800,2884,680,1810,394,0
900,3297,775,2091,431,0
1000,3619,873,2315,431,0
1100,3983,971,2581,431,0
1200,4396,1067,2794,535,0
1300,4718,1164,2968,586,0
1400,5082,1259,3095,728,0
1500,5495,1355,3333,807,0
1600,5817,1453,3557,807,0
1700,6181,1550,3748,880,3
1800,6594,1646,3891,1048,9
1900,6916,1742,4020,1145,9
2000,7280,1838,4109,1321,12
2100,7693,1931,4107,1637,18
2200,8015,2023,4163,1805,24
2300,8379,2121,4423,1805,30
2400,8792,2218,4643,1895,36
2500,9114,2315,4862,1895,42
2600,9478,2410,4824,2190,54
2700,9891,2503,4925,2390,73
2800,10213,2597,4797,2690,129
2900,10577,2691,4912,2790,184
3000,10990,2787,4945,2990,268
3100,11312,2884,5109,2990,329
3200,11676,2978,4920,3390,388
3300,12089,3074,5070,3490,455
3400,12411,3170,5127,3590,524
3500,12775,3265,5046,3890,574
3600,13188,3357,4882,4290,659
3700,13510,3452,4747,4590,721
3800,13874,3546,4778,4790,760
3900,14287,3641,4752,5090,804
4000,14609,3738,4853,5190,828
4100,14973,3834,5014,5274,851
4200,15386,3932,5301,5274,879
4300,15708,4028,5342,5431,907
4400,16072,4124,5383,5630,935
4500,16485,4221,5592,5720,952
4600,16807,4316,5616,5904,971
4700,17171,4414,5854,5904,999
4800,17584,4512,6143,5904,1025
4900,17906,4608,6144,6104,1050
5000,18270,4706,6373,6104,1087
5100,18683,4803,6547,6204,1129
5200,19005,4897,6468,6491,1149
5300,19369,4994,6687,6491,1197
5400,19782,5090,6747,6691,1254
5500,20104,5183,6531,7091,1299
5600,20468,5277,6537,7291,1363
5700,20881,5371,6512,7581,1417
5800,21203,5467,6704,7581,1451
5900,21567,5561,6518,7981,1507
6000,21980,5657,6696,8081,1546
6100,22302,5753,6785,8181,1583
6200,22666,5850,6899,8281,1636
6300,23079,5946,7075,8381,1677
6400,23401,6043,7148,8481,1729
6500,23765,6140,7270,8581,1774
6600,24178,6236,7329,8781,1832
6700,24500,6334,7489,8781,1896
6800,24864,6431,7605,8881,1947
6900,25277,6527,7653,9081,2016
7000,25599,6623,7615,9281,2080
7100,25963,6717,7528,9581,2137
7200,26376,6810,7391,9981,2194
7300,26698,6906,7441,10081,2270
7400,27062,7003,7599,10081,2379
7500,27475,7098,7599,10281,2497
7600,27797,7193,7622,10381,2601
7700,28161,7286,7553,10581,2741
7800,28574,7380,7630,10681,2883
7900,28896,7471,7345,11081,2999
8000,29260,7566,7474,11081,3139
8100,29673,7661,7540,11181,3291
8200,29995,7758,7550,11281,3406
8300,30359,7852,7371,11581,3555
8400,30772,7947,7425,11681,3719
8500,31094,8039,7237,11981,3837
8600,31458,8135,7267,12081,3975
8700,31871,8231,7313,12181,4146
8800,32193,8326,7236,12381,4250
8900,32557,8421,7154,12581,4401
9000,32970,8512,6705,13181,4572
9100,33292,8602,6730,13281,4679
9200,33656,8692,6653,13481,4830
9300,34069,8784,6523,13781,4981
9400,34391,8875,6434,13981,5101
