run_time       ,total_data     ,mutihop        ,sensor_data    ,uav_data       ,lost_data      
0,0,0,0,0,0
100,322,31,186,105,0
200,686,83,386,217,0
300,1099,150,582,367,0
400,1421,223,623,575,0
500,1785,305,842,638,0
600,2198,388,1041,769,0
700,2520,470,1175,875,0
800,2884,559,1282,1043,0
900,3297,650,1541,1106,0
1000,3619,740,1698,1181,0
1100,3983,829,1891,1263,0
1200,4396,916,2078,1402,0
1300,4718,1005,2033,1680,0
1400,5082,1096,2239,1747,0
1500,5495,1187,2526,1782,0
1600,5817,1278,2708,1831,0
1700,6181,1364,2401,2410,6
1800,6594,1452,2634,2502,6
1900,6916,1539,2744,2627,6
2000,7280,1626,2951,2697,6
2100,7693,1711,2725,3251,6
2200,8015,1799,2924,3286,6
2300,8379,1887,3144,3342,6
2400,8792,1974,3352,3457,9
2500,9114,2060,3472,3567,15
2600,9478,2147,3159,4151,21
2700,9891,2237,3434,4193,27
2800,10213,2326,3560,4294,33
2900,10577,2415,3773,4350,39
3000,10990,2505,3576,4864,45
3100,11312,2595,3700,4972,45
3200,11676,2683,3788,5160,45
3300,12089,2770,3983,5288,48
3400,12411,2858,3631,5867,55
3500,12775,2947,3788,5985,55
3600,13188,3035,3986,6107,60
3700,13510,3122,4071,6248,69
3800,13874,3207,3820,6772,75
3900,14287,3296,4041,6873,77
4000,14609,3385,4226,6915,83
4100,14973,3473,4388,7019,93
4200,15386,3556,3884,7833,113
4300,15708,3640,4005,7950,113
4400,16072,3723,4072,8159,118
4500,16485,3806,4347,8208,124
4600,16807,3889,4513,8278,127
4700,17171,3976,4326,8731,138
4800,17584,4066,4609,8759,150
4900,17906,4156,4710,8884,156
5000,18270,4246,4921,8933,170
5100,18683,4332,4450,9711,190
5200,19005,4419,4644,9746,196
5300,19369,4506,4769,9892,202
5400,19782,4593,5033,9948,208
5500,20104,4679,5126,10084,215
5600,20468,4767,4927,10552,222
5700,20881,4856,5220,10566,239
5800,21203,4946,5304,10694,259
5900,21567,5035,5431,10824,277
6000,21980,5122,5158,11405,295
6100,22302,5210,5345,11440,307
6200,22666,5300,5476,11577,313
6300,23079,5388,5572,11788,331
6400,23401,5475,5049,12520,357
6500,23765,5564,5286,12541,374
6600,24178,5652,5439,12690,397
6700,24500,5740,5615,12725,420
6800,24864,5826,5451,13130,457
6900,25277,5919,5707,13158,493
7000,25599,6012,5874,13186,527
7100,25963,6104,5979,13307,573
7200,26376,6193,5468,14101,614
7300,26698,6281,5526,14229,662
7400,27062,6368,5577,14371,746
7500,27475,6455,5783,14427,810
7600,27797,6539,5247,15111,900
7700,28161,6625,5411,15146,979
7800,28574,6714,5522,15281,1057
7900,28896,6802,5535,15423,1136
8000,29260,6890,5683,15465,1222
8100,29673,6976,5037,16363,1297
8200,29995,7063,5090,16484,1358
8300,30359,7150,5243,16526,1440
8400,30772,7237,5457,16575,1503
