run_time       ,total_data     ,mutihop        ,sensor_data_origin,sensor_data_calc,sensor_data    ,uav_data_calc  ,uav_data_origin,uav_data       ,lost_data      ,connect_num    ,buffer_overflow_num
1000.0,2134350.0,639149.0,346318.24,401846.0,748164.24,0.0,19516.0,19516.0,727520.76,145.34,0.26
2000.0,4505850.0,1439084.0,469299.34,468894.0,938193.34,68.0,32716.5,32784.5,2095788.16,145.34,15.62
3000.0,6877350.0,2238934.0,468795.06,499902.0,968697.06,68.0,46214.5,46282.5,3623436.44,145.34,16.1
4000.0,9248850.0,2308634.0,379122.06,450840.0,829962.06,390439.0,761339.92,1151778.92,4958475.02,0.0,0.64
5000.0,11620350.0,2308634.0,502475.28,524790.0,1027265.28,411009.0,774820.92,1185829.92,7098620.8,0.0,10.2
6000.0,13991850.0,2308634.0,505864.14,556070.0,1061934.14,431681.0,788063.92,1219744.92,9401536.94,0.0,16.22
7000.0,16363350.0,2924170.0,384667.42,332503.0,717170.42,957559.0,1433029.12,2390588.12,10331421.46,145.34,0.78
8000.0,18734850.0,3724105.0,507329.28,399245.0,906574.28,957610.0,1446357.12,2403967.12,11700203.6,145.34,9.0
9000.0,21106350.0,4523955.0,509333.28,440181.0,949514.28,957610.0,1459838.12,2417448.12,13215432.6,145.34,16.08
10000.0,23477850.0,4627808.0,386434.38,451724.0,838158.38,1427490.0,2096420.82,3523910.82,14487972.8,0.0,1.3
