run_time       ,total_data     ,mutihop        ,sensor_data_origin,sensor_data_calc,sensor_data    ,uav_data_calc  ,uav_data_origin,uav_data       ,lost_data      ,connect_num    ,buffer_overflow_num
1000.0,2134350.0,638894.0,349941.36,397834.0,747775.36,0.0,27990.5,27990.5,719690.14,145.34,0.26
2000.0,4505850.0,1438812.0,473326.96,465579.0,938905.96,0.0,41386.5,41386.5,2086745.54,145.34,15.22
3000.0,6877350.0,2238679.0,472919.26,497403.0,970322.26,0.0,54833.5,54833.5,3613515.24,145.34,16.12
4000.0,9248850.0,2302429.0,395280.12,413797.0,809077.12,391187.0,810383.22,1201570.22,4935773.66,0.0,0.58
5000.0,11620350.0,2302429.0,520449.0,495499.0,1015948.0,411774.0,823864.22,1235638.22,7066334.78,0.0,6.98
6000.0,13991850.0,2302429.0,524588.36,535908.0,1060496.36,432361.0,837328.22,1269689.22,9359235.42,0.0,16.16
7000.0,16363350.0,2903192.0,395892.06,311695.0,707587.06,996421.0,1512639.72,2509060.72,10243510.22,145.34,0.72
8000.0,18734850.0,3703110.0,520103.92,383894.0,903997.92,996421.0,1526078.22,2522499.22,11605242.86,145.34,7.36
9000.0,21106350.0,4502977.0,522865.7,416262.0,939127.7,996421.0,1539576.22,2535997.22,13128248.08,145.34,16.06
10000.0,23477850.0,4607510.0,390456.04,424847.0,815303.04,1486021.0,2209140.7,3695161.7,14359875.26,0.0,0.88
