run_time       ,total_data     ,mutihop        ,sensor_data_origin,sensor_data_calc,sensor_data    ,uav_data_calc  ,uav_data_origin,uav_data       ,lost_data      ,connect_num    ,buffer_overflow_num
1000.0,2134350.0,678436.0,350242.72,391680.0,741922.72,0.0,28084.0,28084.0,685907.28,154.64,0.28
2000.0,4505850.0,1528946.0,473960.64,473654.0,947614.64,0.0,41514.0,41514.0,1987775.36,154.64,15.24
3000.0,6877350.0,2379456.0,473978.84,496774.0,970752.84,0.0,54944.0,54944.0,3472197.16,154.64,16.16
4000.0,9248850.0,2444532.0,403734.2,412080.0,815814.2,413576.0,852603.68,1266179.68,4722324.12,0.0,0.32
5000.0,11620350.0,2444532.0,531624.12,489770.0,1021394.12,434486.0,866033.68,1300519.68,6853904.2,0.0,5.76
6000.0,13991850.0,2444532.0,536838.24,542368.0,1079206.24,455396.0,879463.68,1334859.68,9133252.08,0.0,16.24
7000.0,16363350.0,3056158.0,399199.32,303042.0,702241.32,1085382.0,1584077.44,2669459.44,9935491.24,154.64,0.36
8000.0,18734850.0,3906668.0,528168.88,368798.0,896966.88,1085382.0,1597507.44,2682889.44,11248325.68,154.64,6.32
9000.0,21106350.0,4757178.0,531928.44,413780.0,945708.44,1085382.0,1610937.44,2696319.44,12707144.12,154.64,16.12
10000.0,23477850.0,4868358.0,402996.4,408442.0,811438.4,1606942.0,2351026.6,3957968.6,13840085.0,0.0,0.32
