run_time       ,total_data     ,mutihop        ,sensor_data_origin,sensor_data_calc,sensor_data    ,uav_data_calc  ,uav_data_origin,uav_data       ,lost_data      ,connect_num    ,buffer_overflow_num
1000.0,2134350.0,639098.0,346049.64,399857.0,745906.64,51.0,18394.0,18445.0,730900.36,145.34,0.22
2000.0,4505850.0,1439084.0,468917.28,468095.0,937012.28,85.0,31637.0,31722.0,2098031.72,145.34,15.68
3000.0,6877350.0,2238985.0,468412.56,502622.0,971034.56,153.0,44778.0,44931.0,3622399.44,145.34,16.12
4000.0,9248850.0,2322132.0,391365.3,452812.0,844177.3,393652.0,689329.38,1082981.38,4999559.32,0.0,1.62
5000.0,11620350.0,2322132.0,507363.08,518109.0,1025472.08,414443.0,702249.38,1116692.38,7156053.54,0.0,9.6
6000.0,13991850.0,2322132.0,510313.06,536520.0,1046833.06,435149.0,715407.38,1150556.38,9472328.56,0.0,16.06
7000.0,16363350.0,2984146.0,393317.02,351169.0,744486.02,899708.0,1273163.46,2172871.46,10461846.52,145.34,2.14
8000.0,18734850.0,3784081.0,504743.64,409649.0,914392.64,899742.0,1286397.96,2186139.96,11850236.4,145.34,10.7
9000.0,21106350.0,4584016.0,506332.86,453679.0,960011.86,899776.0,1299708.96,2199484.96,13362837.18,145.34,16.12
10000.0,23477850.0,4680593.0,380762.76,463182.0,843944.76,1365117.0,1927205.24,3292322.24,14660990.0,0.0,1.34
