run_time       ,total_data     ,mutihop        ,sensor_data_origin,sensor_data_calc,sensor_data    ,uav_data_calc  ,uav_data_origin,uav_data       ,lost_data      ,connect_num    ,buffer_overflow_num
1000.0,2134350.0,639710.0,346991.44,400061.0,747052.44,0.0,21139.5,21139.5,726448.06,145.34,0.26
2000.0,4505850.0,1439594.0,470020.54,463471.0,933491.54,0.0,34586.5,34586.5,2098177.96,145.34,15.52
3000.0,6877350.0,2239444.0,469527.76,500633.0,970160.76,0.0,48101.5,48101.5,3619643.74,145.34,16.1
4000.0,9248850.0,2307461.0,383567.16,440011.0,823578.16,385356.0,770388.16,1155744.16,4962066.68,0.0,0.74
5000.0,11620350.0,2307461.0,507196.4,488563.0,995759.4,405977.0,783801.16,1189778.16,7127351.44,0.0,9.22
6000.0,13991850.0,2307461.0,510439.7,541110.0,1051549.7,426547.0,797265.16,1223812.16,9409027.14,0.0,16.14
7000.0,16363350.0,2927774.0,387386.98,321232.0,708618.98,964342.0,1439614.5,2403956.5,10323000.52,145.34,0.74
8000.0,18734850.0,3727641.0,509711.0,395403.0,905114.0,964342.0,1453112.5,2417454.5,11684640.5,145.34,9.22
9000.0,21106350.0,4527491.0,511726.02,436169.0,947895.02,964342.0,1466610.5,2430952.5,13200011.48,145.34,16.14
10000.0,23477850.0,4616231.0,387557.9,435727.0,823284.9,1425943.0,2158779.08,3584722.08,14453612.02,0.0,0.7
