run_time       ,total_data     ,mutihop        ,sensor_data_origin,sensor_data_calc,sensor_data    ,uav_data_calc  ,uav_data_origin,uav_data       ,lost_data      ,connect_num    ,buffer_overflow_num
100,0,0,0,0,0,0,0,0,0,256,0
200,237150,0,233325,0,233325,0,3825,3825,0,258,0
300,474300,66300,363800,39100,402900,0,5100,5100,0,258,0
400,711450,284750,263075,157250,420325,0,6375,6375,0,258,0
500,948600,351050,391000,74800,465800,0,7650,7650,124100,258,0
600,1185750,569500,290275,192950,483225,0,8925,8925,124100,258,0
700,1422900,635800,418200,107950,526150,0,10200,10200,250750,258,0
800,1660050,854250,317475,226100,543575,0,11475,11475,250750,258,0
900,1897200,920550,445400,141100,586500,0,12750,12750,377400,258,0
1000,2134350,1139000,344675,259250,603925,0,14025,14025,377400,258,0
1100,2371500,1205300,472600,174250,646850,0,15300,15300,504050,258,0
1200,2608650,1423750,371875,292400,664275,0,16575,16575,504050,258,0
1300,2845800,1490050,499800,207400,707200,0,17850,17850,630700,258,0
1400,3082950,1708500,399075,325550,724625,0,19125,19125,630700,258,0
1500,3320100,1774800,526384,240550,766934,0,20400,20400,757966,258,1
1600,3557250,1993250,424299,358700,782999,0,21675,21675,759326,258,1
1700,3794400,2059550,551204,273700,824904,0,22950,22950,886996,258,1
1800,4031550,2278000,449119,391850,840969,0,24225,24225,888356,258,1
1900,4268700,2344300,576024,306850,882874,0,25500,25500,1016026,258,1
2000,4505850,2562750,465315,425000,890315,0,26775,26775,1026010,258,15
2100,4743000,2629050,579704,340000,919704,0,28050,28050,1166196,258,16
2200,4980150,2847500,464869,458150,923019,0,29325,29325,1180306,258,16
2300,5217300,2913800,579024,373150,952174,0,30600,30600,1320726,258,16
2400,5454450,3132250,464189,491300,955489,0,31875,31875,1334836,258,16
2500,5691600,3198550,578344,406300,984644,0,33150,33150,1475256,258,16
2600,5928750,3417000,463509,524450,987959,0,34425,34425,1489366,258,16
2700,6165900,3483300,577664,439450,1017114,0,35700,35700,1629786,258,16
2800,6403050,3701750,462829,557600,1020429,0,36975,36975,1643896,258,16
2900,6640200,3768050,576984,472600,1049584,0,38250,38250,1784316,258,16
3000,6877350,3986500,462149,590750,1052899,0,39525,39525,1798426,258,16
3100,7114500,4052800,850,0,850,505750,616254,1122004,1938846,258,16
3200,7351650,4052800,183600,850,184450,505750,669804,1175554,1938846,214,0
3300,7588800,4085950,312800,50150,362950,505750,695304,1201054,1938846,210,0
3400,7825950,4212600,260525,199750,460275,505750,708479,1214229,1938846,214,0
3500,8063100,4212600,365075,223550,588625,505750,711879,1217629,2044246,0,0
3600,8300250,4212600,300454,447950,748404,505750,713154,1218904,2120342,0,1
3700,8537400,4212600,391298,345100,736398,505750,714429,1220179,2368223,0,1
3800,8774550,4212600,316668,473450,790118,505750,715704,1221454,2550378,0,1
3900,9011700,4212600,409743,233750,643493,505750,716979,1222729,2932878,0,0
4000,9248850,4212600,346418,443700,790118,505750,718254,1224004,3022128,0,0
4100,9486000,4212600,438643,340850,779493,505750,719529,1225279,3268628,0,0
4200,9723150,4212600,375148,550800,925948,505750,720804,1226554,3358048,0,1
4300,9960300,4212600,464568,447950,912518,505750,722079,1227829,3607353,0,1
4400,10197450,4212600,400648,475150,875798,505750,723354,1229104,3879948,0,1
4500,10434600,4212600,493107,323000,816107,505750,724629,1230379,4175514,0,1
4600,10671750,4212600,417202,591600,1008802,505750,725904,1231654,4218694,0,2
4700,10908900,4212600,509257,352750,862007,505750,727179,1232929,4601364,0,1
4800,11146050,4212600,444572,562700,1007272,505750,728454,1234204,4691974,0,1
4900,11383200,4212600,535777,459850,995627,505750,729729,1235479,4939494,0,1
5000,11620350,4212600,463105,669800,1132905,505750,731004,1236754,5038091,0,14
5100,11857500,4212600,540689,566950,1107639,505750,732279,1238029,5299232,0,15
5200,12094650,4212600,464274,594150,1058424,505750,733554,1239304,5584322,0,15
5300,12331800,4212600,544663,442000,986663,505750,734829,1240579,5891958,0,15
5400,12568950,4212600,456858,710600,1167458,505750,736104,1241854,5947038,0,16
5500,12806100,4212600,537013,471750,1008763,505750,737379,1243129,6341608,0,15
5600,13043250,4212600,460428,681700,1142128,505750,738654,1244404,6444118,0,15
5700,13280400,4212600,539627,578850,1118477,505750,739929,1245679,6703644,0,16
5800,13517550,4212600,463297,631550,1094847,505750,741204,1246954,6963149,0,16
5900,13754700,4212600,539797,528700,1068497,505750,742479,1248229,7225374,0,16
6000,13991850,4212600,462532,555900,1018432,505750,743754,1249504,7511314,0,16
6100,14229000,4212600,67852,73950,141802,835550,1219864,2055414,7819184,0,15
6200,14466150,4217700,164709,79900,244609,845750,1336272,2182022,7821819,221,3
