run_time       ,total_data     ,mutihop        ,sensor_data_origin,sensor_data_calc,sensor_data    ,uav_data_calc  ,uav_data_origin,uav_data       ,lost_data      ,connect_num    ,buffer_overflow_num
100,0,0,0,0,0,0,0,0,0,116,0
200,237150,0,221850,0,221850,0,15300,15300,0,121,0
300,474300,30600,358275,68850,427125,0,16575,16575,0,121,0
400,711450,133450,266900,293250,560150,0,17850,17850,0,121,0
500,948600,164050,385475,328100,713575,0,19125,19125,51850,121,0
600,1185750,266900,292103,552500,844603,0,20400,20400,53847,121,2
700,1422900,297500,412378,246500,658878,0,21675,21675,444847,121,0
800,1660050,400350,321853,450500,772353,0,22950,22950,464397,121,0
900,1897200,430950,440428,476850,917278,0,24225,24225,524747,121,0
1000,2134350,533800,348033,701250,1049283,0,25500,25500,525767,121,1
1100,2371500,564400,465843,562700,1028543,0,26775,26775,751782,121,1
1200,2608650,667250,373321,597550,970871,0,28050,28050,942479,121,2
1300,2845800,697850,494446,219300,713746,0,29325,29325,1404879,121,0
1400,3082950,800700,403921,435200,839121,0,30600,30600,1412529,121,0
1500,3320100,831300,521646,433500,955146,0,31875,31875,1501779,121,1
1600,3557250,934150,430271,484500,914771,0,33150,33150,1675179,121,1
1700,3794400,964750,550546,281350,831896,0,34425,34425,1963329,121,0
1800,4031550,1067600,460021,485350,945371,0,35700,35700,1982879,121,0
1900,4268700,1098200,578596,511700,1090296,0,36975,36975,2043229,121,0
2000,4505850,1201050,476897,736100,1212997,0,38250,38250,2053553,121,15
2100,4743000,1231650,581490,597550,1179040,0,39525,39525,2292785,121,17
2200,4980150,1334500,476940,632400,1109340,0,40800,40800,2495510,121,17
2300,5217300,1365100,583615,433500,1017115,0,42075,42075,2793010,121,16
2400,5454450,1467950,476175,657900,1134075,0,43350,43350,2809075,121,17
2500,5691600,1498550,580300,510000,1090300,0,44625,44625,3058125,121,17
2600,5928750,1601400,475325,561000,1036325,0,45900,45900,3245125,121,17
2700,6165900,1632000,582850,329800,912650,0,47175,47175,3574075,121,16
2800,6403050,1734850,478725,533800,1012525,0,48450,48450,3607225,121,16
2900,6640200,1765450,583700,560150,1143850,0,49725,49725,3681175,121,16
3000,6877350,1868300,477025,784550,1261575,0,51000,51000,3696475,121,17
3100,7114500,1898900,342192,190400,532592,455600,291233,746833,3936175,121,17
3200,7351650,1913350,108652,6800,115452,607750,581723,1189473,4133375,17,11
3300,7588800,1913350,280777,27200,307977,612850,611898,1224748,4142725,17,3
3400,7825950,1913350,361102,168300,529402,612850,617423,1230273,4152925,18,3
3500,8063100,1913350,344527,350200,694727,639200,620398,1259598,4195425,0,3
3600,8300250,1913350,388302,412250,800552,639200,621673,1260873,4325475,0,3
3700,8537400,1913350,365331,552500,917831,639200,622948,1262148,4444071,0,4
