run_time       ,total_data     ,mutihop        ,sensor_data_origin,sensor_data_calc,sensor_data    ,uav_data_calc  ,uav_data_origin,uav_data       ,lost_data      ,connect_num    ,buffer_overflow_num
100,0,0,0,0,0,0,0,0,0,2,0
200,237150,0,232050,0,232050,0,5100,5100,0,204,0
300,474300,52700,363800,51000,414800,0,6800,6800,0,202,0
400,711450,222700,264350,215900,480250,0,8500,8500,0,202,0
500,948600,276250,391000,231200,622200,0,10200,10200,39950,202,0
600,1185750,446250,285154,396100,681254,0,11900,11900,46346,202,1
700,1422900,499800,412654,188700,601354,0,13600,13600,308146,202,0
800,1660050,669800,314054,328950,643004,0,15300,15300,331946,202,0
900,1897200,723350,441554,256700,698254,0,17000,17000,458596,202,0
1000,2134350,893350,342954,396950,739904,0,18700,18700,482396,202,0
1100,2371500,946900,469498,324700,794198,0,20400,20400,610002,202,1
1200,2608650,1116900,371748,299200,670948,0,22100,22100,798702,202,0
1300,2845800,1170450,500098,198050,698148,0,23800,23800,953402,202,0
1400,3082950,1340450,401498,338300,739798,0,25500,25500,977202,202,0
1500,3320100,1394000,528148,351050,879198,0,27200,27200,1019702,202,0
1600,3557250,1564000,424448,515950,940398,0,28900,28900,1023952,202,1
1700,3794400,1617550,551948,334050,885998,0,30600,30600,1260252,202,0
1800,4031550,1787550,451882,474300,926182,0,32300,32300,1285518,202,1
1900,4268700,1841100,580232,231200,811432,0,34000,34000,1582168,202,0
2000,4505850,2011100,471861,365500,837361,0,35700,35700,1621689,202,17
2100,4743000,2064650,586611,136850,723461,0,37400,37400,1917489,202,16
2200,4980150,2234650,473561,301750,775311,0,39100,39100,1931089,202,16
2300,5217300,2288200,586611,314500,901111,0,40800,40800,1987189,202,16
2400,5454450,2458200,466846,479400,946246,0,42500,42500,2007504,202,17
2500,5691600,2511750,580746,272850,853596,0,44200,44200,2282054,202,16
2600,5928750,2681750,468546,413100,881646,0,45900,45900,2319454,202,16
2700,6165900,2735300,582446,340850,923296,0,47600,47600,2459704,202,16
2800,6403050,2905300,469396,481100,950496,0,49300,49300,2497954,202,17
2900,6640200,2958850,584146,252450,836596,0,51000,51000,2793754,202,16
3000,6877350,3128850,471946,392700,864646,0,52700,52700,2831154,202,16
3100,7114500,3182400,1700,0,1700,320450,638546,958996,2971404,202,16
3200,7351650,3182400,97750,0,97750,322150,777946,1100096,2971404,7,0
3300,7588800,3182400,260100,37400,297500,334050,803446,1137496,2971404,1,0
3400,7825950,3182400,314925,98600,413525,437750,811521,1249271,2980754,1,0
3500,8063100,3182400,318750,318750,637500,437750,813646,1251396,2991804,0,0
3600,8300250,3182400,346673,496400,843073,437750,815346,1253096,3021681,0,2
3700,8537400,3182400,345823,314500,660323,437750,817046,1254796,3439881,0,0
3800,8774550,3182400,375573,358700,734273,437750,818746,1256496,3601381,0,0
3900,9011700,3182400,371918,461550,833468,437750,820446,1258196,3737636,0,1
4000,9248850,3182400,402518,337450,739968,437750,822146,1259896,4066586,0,0
4100,9486000,3182400,401668,394400,796068,437750,823846,1261596,4245936,0,0
4200,9723150,3182400,431418,438600,870018,437750,825546,1263296,4407436,0,0
4300,9960300,3182400,428018,541450,969468,437750,827246,1264996,4543436,0,1
4400,10197450,3182400,447908,552500,1000408,437750,828946,1266696,4747946,0,1
4500,10434600,3182400,446527,474300,920827,437750,830646,1268396,5062977,0,1
4600,10671750,3182400,477127,357000,834127,437750,832346,1270096,5385127,0,0
4700,10908900,3182400,473727,459850,933577,437750,834046,1271796,5521127,0,1
4800,11146050,3182400,504327,335750,840077,437750,835746,1273496,5850077,0,0
4900,11383200,3182400,503477,392700,896177,437750,837446,1275196,6029427,0,0
5000,11620350,3182400,527067,436900,963967,437750,839146,1276896,6197087,0,10
5100,11857500,3182400,512087,539750,1051837,437750,840846,1278596,6344667,0,16
5200,12094650,3182400,529937,415650,945587,437750,842546,1280296,6686367,0,15
5300,12331800,3182400,515721,472600,988321,437750,844246,1281996,6879083,0,16
5400,12568950,3182400,531871,516800,1048671,437750,845946,1283696,7054183,0,16
5500,12806100,3182400,514871,619650,1134521,437750,847646,1285396,7203783,0,17
5600,13043250,3182400,531871,495550,1027421,437750,849346,1287096,7546333,0,16
5700,13280400,3182400,517421,552500,1069921,437750,851046,1288796,7739283,0,16
5800,13517550,3182400,533486,596700,1130186,437750,851046,1288796,7916168,0,17
5900,13754700,3182400,515636,529550,1045186,438600,852746,1291346,8235768,0,17
6000,13991850,3182400,533486,396950,930436,438600,854446,1293046,8585968,0,16
6100,14229000,3182400,23609,11900,35509,880600,1351573,2232173,8778918,0,16
6200,14466150,3182400,203809,6800,210609,880600,1400873,2281473,8791668,149,1
6300,14703300,3223200,338109,48450,386559,880600,1419573,2300173,8793368,214,1
6400,14940450,3376200,287109,173400,460509,880600,1421273,2301873,8801868,205,1
6500,15177600,3435700,384859,233750,618609,880600,1422973,2303573,8819718,202,1
6600,15414750,3599750,307063,358700,665763,880600,1424673,2305273,8843964,202,2
6700,15651900,3659250,405663,200600,606263,880600,1426373,2306973,9079414,202,1
6800,15889050,3823300,334263,294950,629213,880600,1428073,2308673,9127864,202,1
6900,16126200,3882800,432863,268600,701463,880600,1429773,2310373,9231564,202,1
7000,16363350,4046850,361463,362950,724413,880600,1431473,2312073,9280014,202,1
7100,16600500,4106350,460063,336600,796663,880600,1433173,2313773,9383714,202,1
7200,16837650,4270400,387027,430950,817977,880600,1434873,2315473,9433800,202,2
7300,17074800,4329900,486477,232050,718527,880600,1436573,2317173,9709200,202,1
7400,17311950,4493950,415077,334900,749977,880600,1438273,2318873,9749150,202,1
7500,17549100,4553450,512827,387600,900427,880600,1439973,2320573,9774650,202,1
7600,17786250,4717500,433862,512550,946412,880600,1441673,2322273,9800065,202,2
7700,18023400,4777000,532462,345950,878412,880600,1443373,2323973,10044015,202,1
7800,18260550,4941050,459596,440300,899896,880600,1445073,2325673,10093931,202,2
7900,18497700,5000550,559046,243100,802146,880600,1446773,2327373,10367631,202,1
8000,18734850,5164600,481104,331500,812604,880600,1448473,2329073,10428573,202,13
8100,18972000,5224100,568803,305150,873953,880600,1450173,2330773,10543174,202,15
8200,19209150,5388150,485971,243100,729071,880600,1451873,2332473,10759456,202,16
8300,19446300,5447650,571821,216750,788571,880600,1453573,2334173,10875906,202,16
8400,19683450,5611700,487671,311100,798771,880600,1455273,2335873,10937106,202,16
8500,19920600,5671200,572671,363800,936471,880600,1456973,2337573,10975356,202,16
8600,20157750,5835250,483931,488750,972681,880600,1458673,2339273,11010546,202,17
8700,20394900,5894750,569781,352750,922531,880600,1460373,2340973,11236646,202,16
8800,20632050,6058800,485631,447100,932731,880600,1462073,2342673,11297846,202,16
8900,20869200,6118300,570631,420750,991381,880600,1463773,2344373,11415146,202,17
9000,21106350,6282350,487331,358700,846031,880600,1465473,2346073,11631896,202,16
9100,21343500,6341850,4250,0,4250,1292000,2035254,3327254,11670146,202,16
9200,21580650,6344400,173825,850,174675,1292850,2098579,3391429,11670146,7,0
9300,21817800,6344400,299625,66300,365925,1305600,2131729,3437329,11670146,1,0
9400,22054950,6344400,263500,156400,419900,1458600,2141504,3600104,11690546,1,0
9500,22292100,6344400,370175,256700,626875,1458600,2143629,3602229,11718596,0,0
9600,22529250,6344400,295673,532100,827773,1458600,2145329,3603929,11753148,0,2
9700,22766400,6344400,394273,273700,667973,1458600,2147029,3605629,12148398,0,0
