run_time       ,total_data     ,mutihop        ,sensor_data_origin,sensor_data_calc,sensor_data    ,uav_data_calc  ,uav_data_origin,uav_data       ,lost_data      ,connect_num    ,buffer_overflow_num
100,0,0,0,0,0,0,0,0,0,88,0
200,237150,0,231200,0,231200,0,5950,5950,0,138,0
300,474300,33150,364225,69700,433925,0,7225,7225,0,138,0
400,711450,150450,264350,288150,552500,0,8500,8500,0,138,0
500,948600,183600,391425,263500,654925,0,9775,9775,100300,138,0
600,1185750,300900,287704,481950,769654,0,11050,11050,104146,138,1
700,1422900,334050,415629,262650,678279,0,12325,12325,398246,138,0
800,1660050,451350,316604,456450,773054,0,13600,13600,422046,138,0
900,1897200,484500,444529,358700,803229,0,14875,14875,594596,138,0
1000,2134350,601800,344718,552500,897218,0,16150,16150,619182,138,1
1100,2371500,634950,473493,290700,764193,0,17425,17425,954932,138,0
1200,2608650,752250,373618,509150,882768,0,18700,18700,954932,138,0
1300,2845800,785400,500693,484500,985193,0,19975,19975,1055232,138,0
1400,3082950,902700,394167,702950,1097117,0,21250,21250,1061883,138,2
1500,3320100,935850,522942,303450,826392,0,22525,22525,1535333,138,0
1600,3557250,1053150,424767,492150,916917,0,23800,23800,1563383,138,0
1700,3794400,1086300,553542,369750,923292,0,25075,25075,1759733,138,0
1800,4031550,1203600,453476,563550,1017026,0,26350,26350,1784574,138,2
1900,4268700,1236750,581316,302600,883916,0,27625,27625,2120409,138,1
2000,4505850,1354050,471266,521050,992316,0,28900,28900,2130584,138,16
2100,4743000,1387200,584656,496400,1081056,0,30175,30175,2244569,138,16
2200,4980150,1504500,466846,714850,1181696,0,31450,31450,2262504,138,17
2300,5217300,1537650,581086,494700,1075786,0,32725,32725,2571139,138,16
2400,5454450,1654950,468376,688500,1156876,0,34000,34000,2608624,138,16
2500,5691600,1688100,582616,590750,1173366,0,35275,35275,2794859,138,16
2600,5928750,1805400,469056,784550,1253606,0,36550,36550,2833194,138,17
2700,6165900,1838550,584146,523600,1107746,0,37825,37825,3181779,138,16
2800,6403050,1955850,468121,742050,1210171,0,39100,39100,3197929,138,17
2900,6640200,1989000,582361,538900,1121261,0,40375,40375,3489564,138,16
3000,6877350,2106300,465401,752250,1217651,0,41650,41650,3511749,138,17
3100,7114500,2139450,17319,24650,41969,482800,606097,1088897,3844184,138,16
3200,7351650,2139450,160884,28050,188934,483650,694497,1178147,3845119,79,1
3300,7588800,2139450,292974,75650,368624,504050,730622,1234672,3846054,63,1
3400,7825950,2228700,281839,208250,490089,504050,742522,1246572,3860589,196,1
3500,8063100,2271200,363779,314500,678279,504050,744647,1248697,3864924,118,1
3600,8300250,2271200,319643,530400,850043,504050,745922,1249972,3929035,0,2
3700,8537400,2271200,387983,339150,727133,504050,747197,1251247,4287820,0,1
3800,8774550,2271200,346673,527850,874523,504050,748472,1252522,4376305,0,1
3900,9011700,2271200,415013,400350,815363,504050,749747,1253797,4671340,0,1
4000,9248850,2271200,371557,589050,960607,504050,751022,1255072,4761971,0,2
4100,9486000,2271200,437687,461550,899237,504050,752297,1256347,5059216,0,2
4200,9723150,2271200,392977,679150,1072127,504050,753572,1257622,5122201,0,2
4300,9960300,2271200,458257,620500,1078757,504050,754847,1258897,5351446,0,2
4400,10197450,2271200,409042,838100,1247142,504050,756122,1260172,5418936,0,3
4500,10434600,2271200,478232,413100,891332,504050,757397,1261447,6010621,0,1
4600,10671750,2271200,436922,601800,1038722,504050,758672,1262722,6099106,0,1
4700,10908900,2271200,505262,474300,979562,504050,759947,1263997,6394141,0,1
4800,11146050,2271200,463952,663000,1126952,504050,761222,1265272,6482626,0,1
4900,11383200,2271200,532292,535500,1067792,504050,762497,1266547,6777661,0,1
5000,11620350,2271200,483972,753100,1237072,504050,763772,1267822,6844256,0,11
5100,11857500,2271200,541475,694450,1235925,504050,765047,1269097,7081278,0,14
5200,12094650,2271200,481083,912050,1393133,504050,766322,1270372,7159945,0,17
5300,12331800,2271200,535313,657900,1193213,504050,767597,1271647,7595740,0,16
5400,12568950,2271200,479553,846600,1326153,504050,768872,1272922,7698675,0,16
5500,12806100,2271200,533783,719100,1252883,504050,770147,1274197,8007820,0,16
5600,13043250,2271200,481423,741200,1222623,504050,771422,1275472,8273955,0,15
5700,13280400,2271200,537863,613700,1151563,504050,772697,1276747,8580890,0,15
5800,13517550,2271200,483803,831300,1315103,504050,773972,1278022,8653225,0,15
5900,13754700,2271200,539393,772650,1312043,504050,775247,1279297,8892160,0,15
6000,13991850,2271200,481083,990250,1471333,504050,776522,1280572,8968745,0,16
6100,14229000,2271200,14769,50150,64919,1190000,1300551,2490551,9402330,0,15
6200,14466150,2271200,177459,53550,231009,1190850,1369826,2560676,9403265,167,1
6300,14703300,2302650,315074,92650,407724,1190850,1397026,2587876,9405050,140,1
6400,14940450,2419100,282264,243100,525364,1190850,1399151,2590001,9405985,138,1
6500,15177600,2453100,377804,264350,642154,1190850,1400426,2591276,9491070,138,1
6600,15414750,2569550,309294,443700,752994,1190850,1401701,2592551,9499655,138,1
6700,15651900,2603550,402093,458150,860243,1190850,1402976,2593826,9594281,138,2
6800,15889050,2720000,334433,470900,805333,1190850,1404251,2595101,9768616,138,1
6900,16126200,2754000,429123,432650,861773,1190850,1405526,2596376,9914051,138,1
7000,16363350,2870450,359742,612000,971742,1190850,1406801,2597651,9923507,138,2
7100,16600500,2904450,454432,461550,915982,1190850,1408076,2598926,10181142,138,1
7200,16837650,3020900,382182,629000,1011182,1190850,1409351,2600201,10205367,138,2
7300,17074800,3054900,476872,447950,924822,1190850,1410626,2601476,10493602,138,1
7400,17311950,3171350,406896,582250,989146,1190850,1411901,2602751,10548703,138,2
7500,17549100,3205350,502436,364650,867086,1190850,1413176,2604026,10872638,138,1
7600,17786250,3321800,436901,493850,930751,1190850,1413176,2604026,10929673,138,1
7700,18023400,3355800,531166,431800,962966,1190850,1414876,2605726,11098908,138,1
7800,18260550,3472250,462316,611150,1073466,1190850,1416151,2607001,11107833,138,2
7900,18497700,3506250,554966,625600,1180566,1190850,1417426,2608276,11202608,138,2
8000,18734850,3622700,476195,641750,1117945,1190850,1418701,2609551,11384654,138,13
8100,18972000,3656700,559687,459850,1019537,1190850,1419976,2610826,11684937,138,15
8200,19209150,3773150,479511,594150,1073661,1190850,1421251,2612101,11750238,138,16
8300,19446300,3807150,561451,555900,1117351,1190850,1422526,2613376,11908423,138,16
8400,19683450,3923600,481041,690200,1171241,1190850,1423801,2614651,11973958,138,16
8500,19920600,3957600,562981,651950,1214931,1190850,1425076,2615926,12132143,138,16
8600,20157750,4074050,481721,831300,1313021,1190850,1426351,2617201,12153478,138,16
8700,20394900,4108050,561961,845750,1407711,1190850,1427626,2618476,12260663,138,17
8800,20632050,4224500,474921,861900,1336821,1190850,1428901,2619751,12450978,138,18
8900,20869200,4258500,557711,502350,1060061,1190850,1430176,2621026,12929613,138,16
9000,21106350,4374950,478151,631550,1109701,1190850,1431451,2622301,12999398,138,16
9100,21343500,4408950,12219,75650,87869,1683850,1981448,3665298,13181383,138,16
9200,21580650,4408950,102659,79050,181709,1684700,2122973,3807673,13182318,79,1
9300,21817800,4408950,261524,107100,368624,1700850,2156123,3856973,13183253,63,1
9400,22054950,4472700,299689,226950,526639,1700850,2167173,3868023,13187588,196,1
9500,22292100,4527100,329354,374850,704204,1700850,2168873,3869723,13191073,118,1
9600,22529250,4527100,337918,538900,876818,1700850,2170148,3870998,13254334,0,2
9700,22766400,4527100,354408,427550,781958,1700850,2171423,3872273,13585069,0,1
9800,23003550,4527100,364948,555900,920848,1700850,2172698,3873548,13682054,0,1
9900,23240700,4527100,381438,528700,910138,1700850,2173973,3874823,13928639,0,1
10000,23477850,4527100,389322,605200,994522,1700850,2175248,3876098,14080130,0,2
