run_time       ,total_data     ,mutihop        ,sensor_data_origin,sensor_data_calc,sensor_data    ,uav_data_calc  ,uav_data_origin,uav_data       ,lost_data      ,connect_num    ,buffer_overflow_num
100,0,0,0,0,0,0,0,0,0,88,0
200,237150,0,215475,0,215475,0,21675,21675,0,138,0
300,474300,33150,356150,62050,418200,0,22950,22950,0,138,0
400,711450,150450,270725,266050,536775,0,24225,24225,0,138,0
500,948600,183600,383350,255850,639200,0,25500,25500,100300,138,0
600,1185750,300900,295864,459850,755714,0,26775,26775,102361,138,1
700,1422900,334050,409339,272850,682189,0,28050,28050,378611,138,0
800,1660050,451350,324764,439450,764214,0,29325,29325,415161,138,0
900,1897200,484500,438239,368900,807139,0,30600,30600,574961,138,0
1000,2134350,601800,352028,572900,924928,0,31875,31875,575747,138,1
1100,2371500,634950,465503,398650,864153,0,33150,33150,839247,138,0
1200,2608650,752250,375658,602650,978308,0,34425,34425,843667,138,1
1300,2845800,785400,489133,396950,886083,0,35700,35700,1138617,138,0
1400,3082950,902700,402242,563550,965792,0,36975,36975,1177483,138,1
1500,3320100,935850,516567,313650,830217,0,38250,38250,1515783,138,0
1600,3557250,1053150,432842,475150,907992,0,39525,39525,1556583,138,0
1700,3794400,1086300,547167,379950,927117,0,40800,40800,1740183,138,0
1800,4031550,1203600,460701,583950,1044651,0,42075,42075,1741224,138,2
1900,4268700,1236750,573241,410550,983791,0,43350,43350,2004809,138,1
2000,4505850,1354050,474007,614550,1088557,0,44625,44625,2018618,138,16
2100,4743000,1387200,574031,408850,982881,0,45900,45900,2327019,138,16
2200,4980150,1504500,475771,575450,1051221,0,47175,47175,2377254,138,16
2300,5217300,1537650,575561,504900,1080461,0,48450,48450,2550739,138,16
2400,5454450,1654950,477301,671500,1148801,0,49725,49725,2600974,138,16
2500,5691600,1688100,577091,600950,1178041,0,51000,51000,2774459,138,16
2600,5928750,1805400,477131,804950,1282081,0,52275,52275,2788994,138,17
2700,6165900,1838550,576921,631550,1208471,0,53550,53550,3065329,138,16
2800,6403050,1955850,471096,835550,1306646,0,54825,54825,3085729,138,18
2900,6640200,1989000,571736,451350,1023086,0,56100,56100,3572014,138,16
3000,6877350,2106300,474326,612850,1087176,0,57375,57375,3626499,138,16
3100,7114500,2139450,19019,108800,127819,408850,614597,1023447,3823784,138,16
3200,7351650,2139450,80559,113900,194459,409700,783322,1193022,3824719,79,1
3300,7588800,2139450,253449,134300,387749,419050,816897,1235947,3825654,63,1
3400,7825950,2198100,312864,239700,552564,419050,828797,1247847,3827439,196,1
3500,8063100,2253350,320004,408000,728004,419050,831772,1250822,3830924,118,1
3600,8300250,2253350,352538,492150,844688,476000,833472,1309472,3892740,0,2
3700,8537400,2253350,348628,475150,823778,476000,834747,1310747,4149525,0,1
3800,8774550,2253350,379568,549950,929518,476000,836022,1312022,4279660,0,1
3900,9011700,2253350,373958,731000,1104958,476000,837297,1313297,4340095,0,1
4000,9248850,2253350,399182,657050,1056232,476000,838572,1314572,4624696,0,3
4100,9486000,2253350,391532,694450,1085982,476000,839847,1315847,4830821,0,2
4200,9723150,2253350,421452,574600,996052,476000,841122,1317122,5156626,0,2
4300,9960300,2253350,413802,755650,1169452,476000,842397,1318397,5219101,0,2
4400,10197450,2253350,443722,635800,1079522,476000,843672,1319672,5544906,0,2
4500,10434600,2253350,439812,652800,1092612,476000,844947,1320947,5767691,0,1
4600,10671750,2253350,470752,578850,1049602,476000,846222,1322222,6046576,0,1
4700,10908900,2253350,465142,811750,1276892,476000,847497,1323497,6055161,0,1
4800,11146050,2253350,491832,737800,1229632,476000,848772,1324772,6338296,0,2
4900,11383200,2253350,487072,775200,1262272,476000,850047,1326047,6541531,0,1
5000,11620350,2253350,517014,655350,1172364,476000,851322,1327322,6867314,0,4
5100,11857500,2253350,502545,836400,1338945,476000,852597,1328597,6936608,0,14
5200,12094650,2253350,521033,716550,1237583,476000,853872,1329872,7273845,0,16
