run_time       ,total_data     ,mutihop        ,sensor_data_origin,sensor_data_calc,sensor_data    ,uav_data_calc  ,uav_data_origin,uav_data       ,lost_data      ,connect_num    ,buffer_overflow_num
100,0,0,0,0,0,0,0,0,0,22,0
200,237150,0,210800,0,210800,0,26350,26350,0,246,0
300,474300,57800,333625,37400,371025,0,45475,45475,0,246,0
400,711450,242250,258400,150450,408850,0,60350,60350,0,246,0
500,948600,306000,354025,121550,475575,0,76925,76925,90100,246,0
600,1185750,487050,286450,224400,510850,7650,90100,97750,90100,246,0
700,1422900,566100,365925,178500,544425,7650,110075,117725,194650,246,0
800,1660050,737800,315775,282200,597975,7650,121125,128775,195500,246,0
900,1897200,815150,391000,254150,645150,7650,136000,143650,293250,246,0
1000,2134350,982600,357425,345950,703375,7650,139825,147475,300900,246,0
1100,2371500,1076100,428634,309400,738034,7650,141950,149600,407766,246,1
1200,2608650,1250350,378909,241400,620309,7650,153425,161075,576916,246,0
1300,2845800,1346400,447334,205700,653034,7650,156400,164050,682316,246,0
1400,3082950,1520650,407384,299200,706584,7650,158100,165750,689966,246,0
1500,3320100,1616700,445209,266050,711259,7650,189975,197625,794516,246,0
1600,3557250,1772250,402284,360400,762684,7650,212500,220150,802166,246,0
1700,3794400,1859800,450734,326400,777134,7650,241400,249050,908416,246,0
1800,4031550,2017900,414163,420750,834913,7650,254150,261800,916937,246,1
1900,4268700,2107150,466098,375700,841798,15300,280075,295375,1024377,246,2
2000,4505850,2278000,403816,466650,870466,15300,309209,324509,1032875,246,10
2100,4743000,2376600,458896,247350,706246,15300,327909,343209,1316945,246,8
2200,4980150,2532150,418011,335750,753761,15300,343209,358509,1335730,246,8
2300,5217300,2622250,486500,273700,760200,15300,345334,360634,1474216,246,9
2400,5454450,2788000,440324,362950,803274,15300,356809,372109,1491067,246,10
2500,5691600,2890850,493279,319600,812879,15300,358934,374234,1613637,246,10
2600,5928750,3054900,464294,411400,875694,15300,360634,375934,1622222,246,10
2700,6165900,3161150,502374,379950,882324,15300,363184,378484,1743942,246,10
2800,6403050,3324350,459364,471750,931114,15300,379759,395059,1752527,246,10
2900,6640200,3429750,499994,438600,938594,15300,381459,396759,1875097,246,10
3000,6877350,3594650,444659,530400,975059,15300,408659,423959,1883682,246,10
3100,7114500,3692400,1275,0,1275,515100,900918,1416018,2004807,246,11
3200,7351650,3692400,60350,0,60350,515950,1078143,1594093,2004807,164,0
3300,7588800,3692400,220575,22950,243525,523600,1124468,1648068,2004807,22,0
3400,7825950,3692400,297925,129200,427125,538050,1147418,1685468,2020957,1,0
3500,8063100,3692400,295800,349350,645150,538050,1152093,1690143,2035407,0,0
3600,8300250,3692400,334475,284750,619225,561000,1165268,1726268,2262357,0,0
3700,8537400,3692400,321300,512550,833850,561000,1173343,1734343,2276807,0,0
3800,8774550,3692400,356575,507450,864025,561000,1187368,1748368,2469757,0,0
3900,9011700,3692400,351900,725900,1077800,561000,1196293,1757293,2484207,0,0
4000,9248850,3692400,374638,718250,1092888,561000,1210318,1771318,2692244,0,2
4100,9486000,3692400,382713,573750,956463,561000,1218393,1779393,3057744,0,0
4200,9723150,3692400,416713,489600,906313,561000,1220943,1781943,3342494,0,0
4300,9960300,3692400,418838,650250,1069088,561000,1223068,1784068,3414744,0,0
4400,10197450,3692400,446272,634950,1081222,561000,1224768,1785768,3638060,0,1
4500,10434600,3692400,445847,694450,1140297,561000,1226893,1787893,3814010,0,0
4600,10671750,3692400,455558,645150,1100708,589900,1244552,1834452,4044190,0,1
4700,10908900,3692400,450458,684250,1134708,589900,1258152,1848052,4233740,0,0
4800,11146050,3692400,470093,493850,963943,702950,1277702,1980652,4509055,0,1
4900,11383200,3692400,473174,467500,940674,737800,1283971,2021771,4728355,0,0
5000,11620350,3692400,490451,442000,932451,737800,1299696,2037496,4958003,0,3
5100,11857500,3692400,490517,650250,1140767,737800,1305646,2043446,4980887,0,12
