run_time       ,total_data     ,mutihop        ,sensor_data    ,uav_data       ,lost_data      
0,0,0,0,0,0
100,322,41,246,35,0
200,686,109,490,87,0
300,1099,202,753,144,0
400,1421,296,881,244,0
500,1785,389,1032,364,0
600,2198,482,1352,364,0
700,2520,579,1546,395,0
800,2884,674,1710,500,0
900,3297,767,1956,574,0
1000,3619,863,2102,654,0
1100,3983,958,2328,697,0
1200,4396,1055,2589,752,0
1300,4718,1152,2763,803,0
1400,5082,1248,2980,854,0
1500,5495,1344,3183,968,0
1600,5817,1438,3287,1092,0
1700,6181,1532,3404,1245,0
1800,6594,1630,3719,1245,0
1900,6916,1726,3778,1409,3
2000,7280,1822,3894,1555,9
2100,7693,1917,4042,1713,21
2200,8015,2011,4084,1881,39
2300,8379,2105,4136,2081,57
2400,8792,2200,4167,2362,63
2500,9114,2292,3927,2832,63
2600,9478,2384,4005,3022,67
2700,9891,2480,4120,3214,77
2800,10213,2575,4059,3490,89
2900,10577,2672,4194,3590,121
3000,10990,2765,4007,4068,150
3100,11312,2858,3950,4343,161
3200,11676,2954,4021,4523,178
3300,12089,3048,4160,4691,190
3400,12411,3145,4302,4763,201
3500,12775,3241,4352,4963,219
3600,13188,3335,4375,5247,231
3700,13510,3432,4504,5332,242
3800,13874,3528,4592,5500,254
3900,14287,3624,4746,5657,260
4000,14609,3718,4746,5871,274
4100,14973,3812,4692,6171,298
4200,15386,3909,4907,6266,304
4300,15708,4005,4938,6449,316
4400,16072,4102,5193,6449,328
4500,16485,4199,5424,6528,334
4600,16807,4292,5333,6837,345
4700,17171,4386,5496,6932,357
4800,17584,4483,5707,7027,367
4900,17906,4577,5572,7373,384
5000,18270,4671,5650,7542,407
5100,18683,4766,5781,7711,425
5200,19005,4863,5989,7711,442
5300,19369,4958,5947,7996,468
5400,19782,5052,6068,8176,486
5500,20104,5150,6275,8176,503
5600,20468,5246,6337,8358,527
5700,20881,5343,6540,8448,550
5800,21203,5439,6635,8548,581
5900,21567,5536,6743,8648,640
6000,21980,5632,6830,8848,670
6100,22302,5727,6809,9048,718
6200,22666,5824,6929,9148,765
6300,23079,5919,7017,9343,800
6400,23401,6013,6925,9625,838
6500,23765,6108,7143,9625,889
6600,24178,6202,7225,9825,926
6700,24500,6296,7217,10025,962
6800,24864,6392,7231,10225,1016
6900,25277,6488,7406,10325,1058
