run_time       ,total_data     ,mutihop        ,sensor_data    ,uav_data       ,lost_data      
0,0,0,0,0,0
100,322,0,287,35,0
200,686,0,623,63,0
300,1099,0,952,147,0
400,1421,0,1190,231,0
500,1785,0,1400,385,0
600,2198,0,1785,413,0
700,2520,0,2037,483,0
800,2884,0,2359,525,0
900,3297,0,2604,693,0
1000,3619,0,2926,693,0
1100,3983,0,3290,693,0
1200,4396,0,3703,693,0
1300,4718,0,3829,889,0
1400,5082,0,4053,1029,0
1500,5495,0,4319,1176,0
1600,5817,0,4564,1253,0
1700,6181,0,4823,1353,5
1800,6594,0,5226,1353,15
1900,6916,0,5326,1551,39
2000,7280,0,5475,1740,65
2100,7693,0,5762,1838,93
2200,8015,0,5616,2238,161
2300,8379,0,5791,2338,250
2400,8792,0,5800,2638,354
2500,9114,0,5861,2838,415
2600,9478,0,5734,3238,506
2700,9891,0,5984,3338,569
2800,10213,0,5951,3638,624
2900,10577,0,6040,3838,699
3000,10990,0,6089,4138,763
3100,11312,0,6171,4338,803
3200,11676,0,6152,4638,886
3300,12089,0,6209,4938,942
3400,12411,0,6400,5038,973
3500,12775,0,6508,5238,1029
3600,13188,0,6676,5438,1074
3700,13510,0,6753,5638,1119
3800,13874,0,6874,5836,1164
3900,14287,0,7156,5927,1204
4000,14609,0,7229,6127,1253
4100,14973,0,7165,6527,1281
4200,15386,0,7368,6725,1293
4300,15708,0,7416,6925,1367
4400,16072,0,7567,7025,1480
4500,16485,0,7834,7025,1626
4600,16807,0,7824,7225,1758
4700,17171,0,7826,7425,1920
4800,17584,0,7914,7525,2145
4900,17906,0,7893,7725,2288
5000,18270,0,7858,7925,2487
5100,18683,0,7930,8025,2728
5200,19005,0,7971,8125,2909
5300,19369,0,7922,8325,3122
5400,19782,0,7766,8625,3391
5500,20104,0,7903,8625,3576
5600,20468,0,7928,8725,3815
5700,20881,0,8039,8725,4117
5800,21203,0,7853,9025,4325
5900,21567,0,7755,9225,4587
6000,21980,0,7776,9325,4879
6100,22302,0,7695,9525,5082
6200,22666,0,7795,9525,5346
6300,23079,0,7718,9725,5636
6400,23401,0,7620,9925,5856
6500,23765,0,7618,10025,6122
6600,24178,0,7551,10225,6402
6700,24500,0,7370,10525,6605
