run_time       ,total_data     ,mutihop        ,sensor_data    ,uav_data       ,lost_data      
0,0,0,0,0,0
100,322,26,156,140,0
200,686,73,348,265,0
300,1099,138,537,424,0
400,1421,202,616,603,0
500,1785,275,682,828,0
600,2198,357,961,880,0
700,2520,443,1112,965,0
800,2884,527,1257,1100,0
900,3297,611,1530,1156,0
1000,3619,696,1495,1428,0
1100,3983,786,1734,1463,0
1200,4396,876,2008,1512,0
1300,4718,966,2191,1561,0
1400,5082,1055,2380,1647,0
1500,5495,1146,2362,1987,0
1600,5817,1237,2551,2029,0
1700,6181,1328,2793,2057,3
1800,6594,1418,3011,2156,9
1900,6916,1508,3195,2198,15
2000,7280,1593,2762,2904,21
2100,7693,1681,3045,2946,21
2200,8015,1767,3066,3161,21
2300,8379,1852,3209,3297,21
2400,8792,1935,3331,3505,21
2500,9114,2018,3479,3596,21
2600,9478,2100,2898,4456,24
2700,9891,2186,3177,4498,30
2800,10213,2269,3127,4781,36
2900,10577,2352,3318,4865,42
3100,10990,2434,2971,5536,49
3200,11354,2522,3171,5606,55
3300,11767,2610,3441,5655,61
3400,12089,2697,3578,5747,67
3500,12453,2783,3710,5887,73
3600,12866,2870,3441,6472,83
3700,13188,2957,3560,6588,83
3800,13552,3045,3782,6637,88
3900,13965,3132,3988,6751,94
4000,14287,3219,4167,6807,94
4100,14651,3306,3935,7310,100
4200,15064,3395,4145,7418,106
4300,15386,3482,4211,7584,109
4400,15750,3568,4362,7700,120
4500,16163,3653,4555,7823,132
4600,16485,3740,4268,8339,138
4700,16849,3830,4495,8381,143
4800,17262,3920,4784,8409,149
4900,17584,4010,4968,8451,155
5000,17948,4100,5195,8493,160
5100,18361,4187,4940,9063,171
5200,18683,4276,5129,9098,180
5300,19047,4364,5198,9294,191
5400,19460,4451,5376,9425,208
5500,19782,4538,5543,9481,220
5600,20146,4625,5765,9523,233
5700,20559,4711,5284,10290,274
5800,20881,4798,5291,10506,286
5900,21245,4885,5470,10576,314
6000,21658,4971,5636,10713,338
6100,21980,5057,5799,10769,355
