run_time       ,total_data     ,mutihop        ,sensor_data    ,uav_data       ,lost_data      
0,0,0,0,0,0
100,322,41,246,35,0
200,686,111,514,61,0
300,1099,203,759,137,0
400,1421,299,935,187,0
500,1785,395,1148,242,0
600,2198,491,1441,266,0
700,2520,586,1610,324,0
800,2884,680,1810,394,0
900,3297,775,2091,431,0
1000,3619,873,2315,431,0
1100,3983,971,2581,431,0
1200,4396,1067,2794,535,0
1300,4718,1164,2968,586,0
1400,5082,1259,3095,728,0
1500,5495,1355,3333,807,0
1600,5817,1453,3557,807,0
1700,6181,1550,3751,880,0
1800,6594,1646,3891,1057,0
1900,6916,1742,4020,1154,0
2000,7280,1838,4112,1330,0
2100,7693,1931,4116,1646,0
2200,8015,2023,4178,1814,0
2300,8379,2121,4444,1814,0
2400,8792,2218,4670,1904,0
2500,9114,2315,4895,1904,0
2600,9478,2410,4867,2201,0
2700,9891,2504,5080,2302,5
2800,10213,2596,4774,2832,11
2900,10577,2686,4709,3165,17
3000,10990,2782,4796,3389,23
3100,11312,2878,5016,3389,29
3200,11676,2974,5046,3621,35
3300,12089,3070,5100,3878,41
3400,12411,3165,4938,4267,41
3500,12775,3260,5084,4390,41
3600,13188,3355,5175,4617,41
3700,13510,3451,5284,4734,41
3800,13874,3548,5401,4874,51
3900,14287,3645,5563,5013,66
4000,14609,3743,5776,5013,77
4100,14973,3837,5590,5447,99
4200,15386,3934,5883,5447,122
4300,15708,4032,6085,5447,144
4400,16072,4129,6178,5587,178
4500,16485,4226,6331,5726,202
4600,16807,4322,6351,5910,224
